MHCKEY	PCC	AUC	Size	Binders
BoLA-AW10-9	0.772	0.969	167	8
BoLA-D18.4-9	0.756	0.878	259	182
BoLA-HD6-9	0.739	0.881	267	218
BoLA-JSP.1-9	0.626	0.799	159	32
BoLA-T2C-9	0.883	0.972	90	84
BoLA-T2a-9	0.865	0.922	167	47
BoLA-T2b-9	0.871	0.948	157	38
H-2-Db-10	0.722	0.912	653	72
H-2-Db-11	0.804	0.985	212	14
H-2-Db-8	0.601	0.914	1113	31
H-2-Db-9	0.805	0.933	1804	616
H-2-Dd-10	0.958	0.999	113	25
H-2-Dd-9	0.701	0.954	250	18
H-2-Kb-10	0.670	0.921	448	38
H-2-Kb-11	0.672	0.915	160	17
H-2-Kb-8	0.835	0.936	1695	854
H-2-Kb-9	0.737	0.882	1678	431
H-2-Kd-10	0.739	0.884	202	52
H-2-Kd-11	0.879	0.983	102	32
H-2-Kd-8	0.812	0.944	80	19
H-2-Kd-9	0.846	0.937	461	192
H-2-Kk-10	0.896	0.942	57	26
H-2-Kk-11	0.949	0.988	51	25
H-2-Kk-8	0.953	0.997	95	46
H-2-Kk-9	0.849	0.942	168	79
H-2-Ld-12	0.857	0.969	90	71
H-2-Ld-9	0.929	0.992	179	39
HLA-A-01:01-10	0.760	0.926	702	138
HLA-A-01:01-11	0.897	1.000	90	7
HLA-A-01:01-8	0.955	1.000	69	1
HLA-A-01:01-9	0.706	0.966	3902	539
HLA-A-02:01-10	0.821	0.936	2753	1150
HLA-A-02:01-11	0.920	0.971	139	32
HLA-A-02:01-8	0.898	0.985	167	18
HLA-A-02:01-9	0.800	0.958	9051	3273
HLA-A-02:02-10	0.796	0.912	1445	658
HLA-A-02:02-11	0.989	1.000	75	21
HLA-A-02:02-8	0.882	0.980	128	16
HLA-A-02:02-9	0.833	0.934	2465	1119
HLA-A-02:03-10	0.817	0.903	1614	811
HLA-A-02:03-11	0.956	0.986	88	22
HLA-A-02:03-8	0.916	0.972	131	20
HLA-A-02:03-9	0.819	0.956	4428	1543
HLA-A-02:06-10	0.810	0.917	1623	679
HLA-A-02:06-11	0.906	0.949	92	20
HLA-A-02:06-8	0.932	1.000	135	7
HLA-A-02:06-9	0.781	0.921	3733	1522
HLA-A-02:11-9	0.846	0.976	1082	401
HLA-A-02:12-9	0.798	0.975	1181	306
HLA-A-02:16-9	0.763	0.985	918	178
HLA-A-02:17-10	0.782	0.870	176	88
HLA-A-02:17-9	0.909	0.963	170	89
HLA-A-02:19-9	0.743	0.989	1243	231
HLA-A-02:50-9	0.944	1.000	135	88
HLA-A-03:01-10	0.832	0.927	1694	720
HLA-A-03:01-11	0.922	0.981	73	14
HLA-A-03:01-8	0.687	0.983	63	3
HLA-A-03:01-9	0.750	0.950	5488	1378
HLA-A-11:01-10	0.825	0.932	1680	755
HLA-A-11:01-11	0.942	0.981	86	21
HLA-A-11:01-8	0.973	1.000	59	5
HLA-A-11:01-9	0.789	0.961	4544	1363
HLA-A-23:01-10	0.924	0.972	580	184
HLA-A-23:01-11	0.944	0.973	60	5
HLA-A-23:01-8	0.958	0.991	57	7
HLA-A-23:01-9	0.758	0.937	1915	410
HLA-A-24:02-10	0.891	0.974	689	189
HLA-A-24:02-11	0.931	1.000	82	6
HLA-A-24:02-8	0.948	0.999	84	13
HLA-A-24:02-9	0.750	0.920	2395	496
HLA-A-24:03-9	0.844	0.979	1372	330
HLA-A-25:01-9	0.660	0.999	935	71
HLA-A-26:01-10	0.761	0.946	632	100
HLA-A-26:01-11	0.903	1.000	58	3
HLA-A-26:01-8	0.750	None	51	0
HLA-A-26:01-9	0.661	0.959	3766	409
HLA-A-26:02-9	0.859	0.984	617	168
HLA-A-26:03-9	0.742	0.989	518	62
HLA-A-29:02-10	0.825	0.926	522	171
HLA-A-29:02-11	0.972	1.000	70	11
HLA-A-29:02-8	0.894	1.000	57	2
HLA-A-29:02-9	0.752	0.910	2110	532
HLA-A-30:01-10	0.852	0.933	289	37
HLA-A-30:01-9	0.798	0.946	2565	736
HLA-A-30:02-10	0.781	0.897	596	226
HLA-A-30:02-11	0.986	1.000	51	13
HLA-A-30:02-8	0.940	1.000	53	4
HLA-A-30:02-9	0.711	0.877	1330	364
HLA-A-31:01-10	0.775	0.898	1640	576
HLA-A-31:01-11	0.963	1.000	54	9
HLA-A-31:01-9	0.799	0.952	3945	1015
HLA-A-32:01-10	0.798	0.929	258	15
HLA-A-32:01-9	0.829	0.933	831	395
HLA-A-32:07-9	0.804	0.938	88	79
HLA-A-32:15-9	0.883	0.946	74	59
HLA-A-33:01-10	0.824	0.934	1560	315
HLA-A-33:01-9	0.809	0.957	1929	387
HLA-A-66:01-9	0.624	1.000	192	12
HLA-A-68:01-10	0.823	0.925	1651	740
HLA-A-68:01-9	0.830	0.934	2036	829
HLA-A-68:02-10	0.799	0.937	1617	481
HLA-A-68:02-11	0.846	0.985	85	7
HLA-A-68:02-8	0.862	0.982	128	5
HLA-A-68:02-9	0.767	0.951	3672	834
HLA-A-68:23-9	0.816	0.905	81	76
HLA-A-69:01-9	0.634	0.969	2558	248
HLA-A-80:01-9	0.718	0.991	1168	122
HLA-B-07:02-10	0.858	0.949	571	237
HLA-B-07:02-11	0.961	1.000	78	5
HLA-B-07:02-8	0.951	0.994	89	17
HLA-B-07:02-9	0.799	0.972	3868	1060
HLA-B-08:01-10	0.876	0.960	365	67
HLA-B-08:01-11	0.845	1.000	65	3
HLA-B-08:01-8	0.989	1.000	52	14
HLA-B-08:01-9	0.740	0.953	3027	715
HLA-B-08:02-9	0.673	0.996	999	37
HLA-B-08:03-9	0.691	0.997	451	18
HLA-B-14:02-9	0.789	0.973	279	42
HLA-B-15:01-10	0.949	0.995	252	164
HLA-B-15:01-9	0.730	0.943	4101	1187
HLA-B-15:02-9	0.784	0.896	164	124
HLA-B-15:03-10	0.993	1.000	57	8
